,v_f,sigma_v_f,v_E,sigma_v_E
0,1.3333161223643743e-06,3.913668015607432e-08,-9.377411182562825e-06,8.261587852641382e-07
1,1.3596786466549635e-06,1.9506842487047677e-07,-3.2560475260469075e-05,1.4732082577594198e-06
2,1.5589799751932738e-06,3.7487207542410544e-08,-0.00015458966433333425,8.204993724584766e-06
3,7.186059493011454e-07,8.334347869596307e-08,-3.9296952488095115e-05,2.362098818008804e-06
4,2.651845067227815e-06,1.126185127500393e-07,-2.5945652896123148e-05,1.2248372626642676e-06
5,2.700455954055107e-06,6.123353640839743e-08,-2.5263378042217453e-05,1.1177733511599528e-06
6,6.867993052001685e-06,6.943102112109174e-07,-9.4064870680151e-06,2.628128265225462e-07
7,6.031723239506763e-06,1.7608407249754435e-07,-9.494653755134428e-06,2.8740142093008914e-07
8,5.692650660330335e-06,1.4245798647926934e-07,-6.359125640213125e-06,1.9818710265500714e-07
9,1.6771220599081793e-06,4.472958564210026e-08,-3.2084890140438545e-05,1.957318449008415e-06
10,1.9762162009743417e-06,4.101618089706822e-08,-1.0155419082207127e-05,4.139830488323982e-07
11,2.2076683830449523e-06,5.3729396489107904e-08,-9.835678822092231e-06,3.1202984895344607e-07
12,5.499316851726538e-07,5.531034414665165e-08,-3.948667633935226e-05,2.452367866016711e-06
13,9.244505962321505e-07,1.5678107966721562e-08,-1.8272176569104014e-05,7.804977621906653e-07
14,8.79985844303512e-07,1.7654618081313974e-08,-2.7906823579356185e-05,2.0058455601726804e-06
15,1.6130994521738122e-06,4.2415447427419806e-08,-4.735853143625912e-06,1.2040069588484026e-07
16,1.8070646070197514e-06,2.975109748081956e-08,-1.1598385001854565e-05,3.481287145125356e-07
17,1.787749983331873e-06,1.3382575854592684e-07,-1.124190035490553e-05,4.0754594000277505e-07
18,2.143599821813664e-06,4.956516051039719e-08,-1.4369407723493359e-05,7.102130331558785e-07
19,1.9268360347020022e-06,1.5063747739759844e-07,-1.4251216025207442e-05,7.835714890072915e-07
20,2.2990256710159784e-06,5.484402713790061e-08,-3.3727977640002444e-06,8.39939042799534e-08
21,3.4989595696640277e-06,7.959792081620942e-08,-2.048918026316751e-05,7.926373017657303e-07
22,3.3451124139589e-06,5.957779614248462e-08,-2.3074873675522746e-05,1.1614414798197206e-06
23,3.515400401161521e-06,8.021087722808328e-08,-1.6197332190622958e-05,5.716446758281903e-07
24,1.2186031422510898e-06,2.2413247190464338e-08,-2.4059700672418985e-05,1.0527768076343535e-06
25,9.27935178266201e-07,2.720639840271379e-08,-1.401030007514028e-05,5.13895711291056e-07
26,1.0784990541774368e-06,2.4349582678422812e-08,-3.319364637782759e-05,1.4432910159135487e-06
